epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,648.146,0.86738,0.47205,0.92448,0.90467,0.86183,0.89977,0.67483,1.11203,0.55392,1.00064,0.000660045,0.000660045,0.000660045
43,662.15,0.87551,0.47631,0.91899,0.90769,0.85839,0.91097,0.6858,1.09048,0.54448,0.98944,0.000649046,0.000649046,0.000649046
44,676.535,0.85357,0.46202,0.91633,0.89062,0.82003,0.90298,0.66528,1.09366,0.55791,0.995,0.000638047,0.000638047,0.000638047
45,690.951,0.85126,0.46616,0.91863,0.88904,0.86655,0.89992,0.68287,1.05851,0.53898,0.98808,0.000627048,0.000627048,0.000627048
46,705.487,0.84875,0.46165,0.91513,0.9014,0.85128,0.91422,0.70105,1.05033,0.53098,0.98323,0.000616049,0.000616049,0.000616049
47,720.147,0.83823,0.45208,0.90783,0.9149,0.82658,0.90636,0.68558,1.09772,0.55842,0.99317,0.000605051,0.000605051,0.000605051
48,734.58,0.85036,0.45868,0.92068,0.88493,0.87615,0.90496,0.68145,1.05743,0.539,0.97622,0.000594052,0.000594052,0.000594052
49,749.077,0.84755,0.45884,0.91824,0.90774,0.86203,0.90074,0.686,1.05477,0.53113,0.98214,0.000583053,0.000583053,0.000583053
50,763.143,0.86055,0.45336,0.91565,0.87341,0.84559,0.88782,0.68081,1.09734,0.56014,0.99692,0.000572054,0.000572054,0.000572054
51,777.425,0.83293,0.45575,0.91281,0.88503,0.85749,0.90605,0.69102,1.04217,0.52837,0.97239,0.000561055,0.000561055,0.000561055
52,791.644,0.83846,0.4502,0.90779,0.90871,0.85929,0.90568,0.68997,1.05106,0.53555,0.97467,0.000550056,0.000550056,0.000550056
53,805.769,0.82867,0.44692,0.90328,0.89036,0.84078,0.8906,0.68442,1.04674,0.52885,0.97549,0.000539057,0.000539057,0.000539057
54,820.391,0.81573,0.43479,0.90639,0.89293,0.83515,0.89761,0.68696,1.0549,0.53069,0.97526,0.000528058,0.000528058,0.000528058
55,835.133,0.83308,0.44427,0.91143,0.90051,0.82725,0.88714,0.67695,1.06121,0.53774,0.97461,0.000517059,0.000517059,0.000517059
56,849.337,0.82901,0.43833,0.9044,0.90451,0.85589,0.90549,0.6875,1.06881,0.5334,0.98888,0.00050606,0.00050606,0.00050606
57,863.578,0.80922,0.43205,0.90492,0.89725,0.85782,0.90963,0.69348,1.07205,0.53042,0.97795,0.000495062,0.000495062,0.000495062
58,877.665,0.8098,0.43802,0.9014,0.84728,0.89226,0.8905,0.67701,1.04505,0.53399,0.97366,0.000484063,0.000484063,0.000484063
59,892.368,0.8042,0.42737,0.89934,0.88801,0.89238,0.91016,0.70051,1.0513,0.50387,0.97726,0.000473064,0.000473064,0.000473064
60,906.615,0.80526,0.42848,0.90153,0.92809,0.84508,0.91122,0.69684,1.07208,0.51381,0.98224,0.000462065,0.000462065,0.000462065
61,920.974,0.80926,0.42331,0.90232,0.92313,0.81884,0.89601,0.68309,1.07407,0.53227,0.98895,0.000451066,0.000451066,0.000451066
62,935.518,0.79834,0.42287,0.89947,0.89778,0.86809,0.90409,0.68934,1.06042,0.5166,0.9816,0.000440067,0.000440067,0.000440067
63,949.742,0.78923,0.42008,0.89421,0.88009,0.87575,0.90674,0.69831,1.05662,0.53189,0.9823,0.000429068,0.000429068,0.000429068
64,963.759,0.77602,0.41454,0.89717,0.89654,0.87115,0.90035,0.69932,1.05477,0.52567,0.98246,0.000418069,0.000418069,0.000418069
65,978.112,0.78026,0.41556,0.89574,0.91036,0.86019,0.90515,0.69625,1.04841,0.50759,0.96942,0.00040707,0.00040707,0.00040707
66,992.429,0.78029,0.41894,0.89156,0.89436,0.85736,0.90112,0.70032,1.05554,0.54147,0.97334,0.000396071,0.000396071,0.000396071
67,1006.85,0.76823,0.41119,0.89274,0.89461,0.8378,0.89099,0.68004,1.06633,0.53066,0.98284,0.000385073,0.000385073,0.000385073
68,1020.96,0.78431,0.41594,0.89203,0.90814,0.82715,0.89764,0.6908,1.051,0.52938,0.97602,0.000374074,0.000374074,0.000374074
69,1035.27,0.77741,0.40974,0.88877,0.846,0.88291,0.90331,0.69546,1.06648,0.51855,0.99043,0.000363075,0.000363075,0.000363075
70,1049.62,0.76878,0.40639,0.88968,0.85204,0.86449,0.89794,0.68885,1.06082,0.52671,0.98156,0.000352076,0.000352076,0.000352076
71,1063.83,0.7517,0.39768,0.89196,0.88709,0.86561,0.89508,0.68397,1.05757,0.52186,0.98141,0.000341077,0.000341077,0.000341077
72,1078.2,0.74908,0.40132,0.88444,0.87535,0.85551,0.89142,0.68607,1.06477,0.51556,0.98258,0.000330078,0.000330078,0.000330078
73,1092.38,0.75804,0.40328,0.88979,0.88564,0.86845,0.89094,0.68876,1.04705,0.52745,0.97885,0.000319079,0.000319079,0.000319079
74,1106.96,0.75084,0.39618,0.88827,0.87661,0.86706,0.89071,0.683,1.06485,0.5221,0.98389,0.00030808,0.00030808,0.00030808
75,1121.6,0.73795,0.39202,0.88643,0.87634,0.84837,0.89518,0.67913,1.05974,0.52957,0.9925,0.000297081,0.000297081,0.000297081
76,1136.04,0.73849,0.39144,0.88487,0.92086,0.84552,0.90803,0.68833,1.0665,0.51763,0.99238,0.000286083,0.000286083,0.000286083
77,1150.87,0.75,0.39392,0.8861,0.89723,0.87008,0.91163,0.6974,1.06108,0.50909,0.98655,0.000275084,0.000275084,0.000275084
78,1165.26,0.72808,0.38674,0.8831,0.88276,0.87869,0.91241,0.7016,1.05343,0.50512,0.97626,0.000264085,0.000264085,0.000264085
79,1179.59,0.73448,0.38964,0.88225,0.86541,0.88828,0.91331,0.70631,1.06301,0.50638,0.97993,0.000253086,0.000253086,0.000253086
80,1194.82,0.7363,0.38866,0.88305,0.92913,0.83517,0.91077,0.70477,1.06191,0.51327,0.98154,0.000242087,0.000242087,0.000242087
81,1209.27,0.71935,0.38164,0.87751,0.89439,0.86073,0.91602,0.70106,1.06685,0.51063,0.98991,0.000231088,0.000231088,0.000231088
82,1223.83,0.723,0.38058,0.87839,0.91225,0.85347,0.91768,0.70083,1.05885,0.50731,0.97894,0.000220089,0.000220089,0.000220089
83,1238.41,0.71997,0.38511,0.88051,0.89495,0.86184,0.91493,0.69621,1.07526,0.50645,0.98749,0.00020909,0.00020909,0.00020909
84,1252.66,0.71223,0.37596,0.87498,0.89233,0.86682,0.91597,0.69651,1.06987,0.51348,0.98544,0.000198091,0.000198091,0.000198091
85,1267.11,0.71217,0.37742,0.87808,0.87837,0.88328,0.90139,0.68751,1.06962,0.5147,0.97864,0.000187092,0.000187092,0.000187092
86,1281.57,0.70719,0.37262,0.87326,0.87166,0.87578,0.90342,0.68905,1.06283,0.51504,0.98527,0.000176094,0.000176094,0.000176094
87,1296.43,0.69818,0.37255,0.87449,0.8735,0.88178,0.89923,0.69096,1.06729,0.50811,0.98434,0.000165095,0.000165095,0.000165095
88,1310.91,0.70361,0.37116,0.87331,0.88353,0.87997,0.90666,0.69852,1.05063,0.50717,0.98289,0.000154096,0.000154096,0.000154096
89,1325.32,0.69587,0.36981,0.87285,0.87238,0.8734,0.90531,0.69397,1.05987,0.50408,0.98342,0.000143097,0.000143097,0.000143097
